時間戳記,性別(性自認に基づいて),年齢,国籍・地域,住居状況,婚姻状況,インタラクションしている(遊ぶ・触れ合う・ 話しかける・抱きしめる...)ぬいぐるみを持っていますか？もし持っていれば、何匹/何体ですか？ ,ぬいぐるみとインタラクションする(遊ぶ・触れ合う・話しかける・抱きしめる...)頻度はどのくらいですか？,普段ぬいぐるみと行うインタラクション(複数選択可),周りの人があなたとぬいぐるみとのインタラクションにどう反応するか 気にしますか？,あなたにとってぬいぐるみはどのような存在ですか？(複数選択可),あなたのぬいぐるみは、あなたのことをどのように呼んでいますか？(もしあれば、複数選択可),「ぬいぐるみは、私に寄り添ってくれるように感じられ、孤独感を和らげてくれる」,「ぬいぐるみは、私の心の拠り所だ」,「ぬいぐるみは誰よりも私のことを理解している」,「SNSでぬいぐるみとの触れ合いを共有することで、コミュニティへの帰属意識が得られる」,「ぬいぐるみによって、幸せを感じたり、心が慰められたり、安心感を覚えたりする」,「ぬいぐるみと交流することは、私のストレスを解消したり、ネガティブな感情を和らげたりするのに役立つ」,「私はぬいぐるみのない生活は受け入れられない」,「私はぬいぐるみを自分の子供と見なしている」,「ぬいぐるみがそばにいてくれるだけで、私は一人じゃない」,「ぬいぐるみがあると安心する」,「ぬいぐるみを持つことは大人になっても自然なことだ」,「できれば、ぬいぐるみには一生一緒にいてほしい」,「ぬいぐるみにも生命がある！」,現在、ペットを飼っていますか？,現在、お子さんはいますか？(ぬいぐるみの子どもは含みません),ぬいぐるみをを飼う・育てる・利用する行為は、SNSの影響を受けていますか？,ぬいぐるみを飼う・育てる・利用することは、あなたが子供が欲しい気持ちを代替または緩和すると思いますか？,ぬいぐるみを飼う・育てる・利用することは、あなたがペットを飼いたいという欲求を代替または緩和すると思いますか？,もし自分が死んだ後、ぬいぐるみの世話をする人がいなくなったらどうなるか 考えたことはありますか？,自分が死んだ後、別の世界(天国/極楽浄土/異世界など)でぬいぐるみと再会できると思いますか？,ぬいぐるみを 飼う・育てる・利用するという現象について、何か思うことはありますか？(もしあれば),自分が死んだ後、ぬいぐるみがどうなるかについて、何か補足で考えていることはありますか？（もしあれば）,あなたのぬいぐるみ、またはあなたとぬいぐるみとの面白い写真があれば、皆さんにシェアしていただけませんか？(もしあれば。校内上映の期末報告動画で使用させていただく可能性があります),もし写真をシェアしてくださった場合は、どのような状況の写真か、追加で説明していただけますでしょうか？,ぬいぐるみに関するあらゆることについて、他に何かお話したいことはありますか？,もしあなたの回答がとても興味深いと感じた場合、ビデオインタビューをお願いしてもよろしいでしょうか？,あなたの国・文化圏では、大人がぬいぐるみを【持つ】ことについてどのように考えられていますか？,あなたの国・文化圏では、大人がぬいぐるみと【インタラクション】している(遊ぶ・触れ合う・ 話しかける・抱きしめる...) ことについてどのように考えられていますか？,あなたの国・文化圏では、どのような場面でぬいぐるみが登場することが多いですか？(複数選択可)
2025/4/15 下午 6:24:05,女性,33~40歳,日本,配偶者と子供,既婚,1~3匹,週に数回,同じ布団で一緒に寝る,全く気にしない,"家族, ペット",飼い主,賛成,賛成,賛成,特に思いはない/こんなことはしていない,時々,賛成,賛成,不賛成,賛成,賛成,賛成,賛成,賛成,いいえ、でもペットを飼うつもりはある,はい,子供がぬいぐるみを可愛がっている姿から影響を受けた,いいえ、両者のニーズの性質は異なる,はい、ペットを飼う意欲を低下させる,いいえ、考えたことはない,いいえ、考えたことはない,ぬいぐるみを含め、物を大切に扱う気持ちが強まった,子供が可愛がってくれると思う,,,,いいえ、結構,一般的で、特に珍しくない,一般的で、特に珍しくない,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, 癒し目的"
2025/4/16 上午 8:38:38,女性,26~33歳,日本,1人暮らし,未婚,1~3匹,毎日何度も,"抱きしめる・すりすりする・においを嗅ぐ, 同じ布団で一緒に寝る",全く気にしない,友達,人間・人間さん,賛成,賛成,賛成,特に思いはない/こんなことはしていない,よく,賛成,賛成,不賛成,賛成,賛成,賛成,賛成,特に思いはない,いいえ、ペットを飼うつもりもない,いいえ、子供を持つことは考えていない,いいえ,元々子供を持つつもりはない,元々ペットを飼うつもりはない,はい、私と一緒に火葬・埋葬してもらう,いいえ、考えたことはない,自閉症なので、ぬいぐるみがそばにいると安心します。対人不安に陥りやすいので、そういう時は抱きしめます。,,,,,いいね,一般的で、特に珍しくない,ある程度理解されている,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, ファッションアイテム, 癒し目的, 心理セラピー目的"
2025/4/16 下午 12:21:12,女性,33~40歳,日本,1人暮らし,未婚,4~6匹,毎日何度も,"イベント(同人祭り・コスプレイベント・マラソンなど)に連れて行く, 外出する際に連れて行く, 食べさせる, 日常的に話しかける, 悩みや秘密、心の内を打ち明ける, 名前を付けて性格を与える, ぬいぐるみに服を着せる, ぬいぐるみ同士でおしゃべり・触れ合いをする, 写真を撮ってSNSに投稿する, 抱きしめる・すりすりする・においを嗅ぐ, 国内旅行に連れて行く, 同じ布団で一緒に寝る, 自分で運転・乗車する乗り物(自家用車・バイク・自転車・バス・タクシー・飛行機など)に、ぬいぐるみを乗客として座らせる",全く気にしない,家族,,賛成,賛成,賛成,賛成,よく,賛成,賛成,特に思いはない,賛成,賛成,賛成,賛成,賛成,いいえ、ペットを飼うつもりもない,いいえ、子供を持つことは考えていない,はい,元々子供を持つつもりはない,この質問については、特に思いはない,はい、私と一緒に火葬・埋葬してもらう,はい、そう思う,,,,,,いいえ、結構,ある程度理解されている,ある程度理解されている,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, 癒し目的, 心理セラピー目的"
2025/4/16 下午 6:29:54,女性,26~33歳,日本,両親と一緒に住む,未婚,11匹以上,毎日何度も,"職場や学校に連れて行く, イベント(同人祭り・コスプレイベント・マラソンなど)に連れて行く, 外出する際に連れて行く, 食べさせる, 日常的に話しかける, 悩みや秘密、心の内を打ち明ける, 名前を付けて性格を与える, ぬいぐるみに家族を作る, ぬいぐるみに服を着せる, ぬいぐるみ同士でおしゃべり・触れ合いをする, 写真を撮ってSNSに投稿する, 抱きしめる・すりすりする・においを嗅ぐ, 出かける前にぬいぐるみに布団をかけてあげる, 国内旅行に連れて行く, 海外旅行に連れて行く, 同じ布団で一緒に寝る, 自分で運転・乗車する乗り物(自家用車・バイク・自転車・バス・タクシー・飛行機など)に、ぬいぐるみを乗客として座らせる",,家族,"はは・ちち・お母さん・お父さん, 自分の名前、いもちゃん(「妹」から派生。母が私の兄(母にとっての長男)として育てているぬいぐるみがいるので)",賛成,賛成,特に思いはない,特に思いはない/こんなことはしていない,よく,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,いいえ、ペットを飼うつもりもない,いいえ、まだ決めていない,親がぬいぐるみを育てているので小さい頃からぬいぐるみを育てるのが普通だと思っているが、SNSのぬいぐるみに影響を受けたこともある(かぎ針編みで服を作るなど),いいえ、両者のニーズの性質は異なる,元々ペットを飼うつもりはない,はい、まだどうすればいいか分からない,はい、そう思う,もっと一般的な趣味になればいいのにと思います。そうすれば仕事中も机の上に置けるからです,,https://drive.google.com/open?id=1knTr5cTl1vtz8AEQ5hWmp-RpPh3nzHT_,ペンギンのぬいぐるみにミツバチの衣装を作ってあげました,ぬいぐるみと人のかかわりについて研究している人がいて嬉しく思います,いいね,少し珍しく、特定の人だけがする印象,少し珍しく、特定の人だけがする印象,"子供の遊び道具, 癒し目的"
2025/4/17 上午 3:44:16,女性,26~33歳,日本,親と兄弟姉妹と一緒に住む,未婚,1~3匹,毎日何度も,"外出する際に連れて行く, 日常的に話しかける, 写真を撮ってSNSに投稿する, 同じ布団で一緒に寝る",少し気になるが、特に問題ない,"友達, 家族, コレクション",主人・ご主人様,賛成,賛成,賛成,賛成,よく,賛成,賛成,特に思いはない,賛成,賛成,賛成,賛成,賛成,いいえ、ペットを飼うつもりもない,いいえ、子供を持つことは考えていない,はい,元々子供を持つつもりはない,元々ペットを飼うつもりはない,はい、まだどうすればいいか分からない,いいえ、考えたことはない,,,,,,いいえ、結構,少し珍しく、特定の人だけがする印象,少し珍しく、特定の人だけがする印象,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア"
2025/4/18 上午 7:22:12,男性,41~48歳,日本,配偶者と一緒に住む,既婚,1~3匹,たまに,名前を付けて性格を与える,全く気にしない,"友達, ペット",人間・人間さん,賛成,特に思いはない,特に思いはない,特に思いはない/こんなことはしていない,時々,賛成,賛成,特に思いはない,特に思いはない,賛成,賛成,賛成,特に思いはない,はい,はい,いいえ,この質問については、特に思いはない,部分的に同意する,はい、親しい友人や家族に託す,はい、そう思う,,,,,,いいえ、結構,分からない・特に何も思わない,一般的で、特に珍しくない,"子供の遊び道具, インテリア, 癒し目的"
2025/4/18 上午 9:30:40,女性,49歳以上,日本,配偶者と一緒に住む,既婚,4~6匹,毎日1回,"写真を撮ってSNSに投稿する, 抱きしめる・すりすりする・においを嗅ぐ, 同じ布団で一緒に寝る",全く気にしない,コレクション,特になし,賛成,特に思いはない,特に思いはない,特に思いはない/こんなことはしていない,よく,賛成,賛成,特に思いはない,特に思いはない,賛成,賛成,賛成,賛成,はい,いいえ、子供を持つことは考えていない,いいえ,元々子供を持つつもりはない,部分的に同意する,いいえ、考えたことはない,いいえ、考えたことはない,,,,,,いいえ、結構,一般的で、特に珍しくない,ある程度理解されている,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, ファッションアイテム, 癒し目的, 心理セラピー目的"
2025/4/18 下午 10:21:21,gender fluid,18~25歳,日本,1人暮らし,未婚,11匹以上,ほとんどない,できることなら上記の様々をしたい/してあげたいけれど、、できていない。。,全く気にしない,"家族, ぬいぐるみ",わからない、それぞれ,特に思いはない,特に思いはない,特に思いはない,特に思いはない/こんなことはしていない,たまに,特に思いはない,わからない,不賛成,特に思いはない,特に思いはない,賛成,永遠を期待してしまいそうになる、けど直視しない、死へ向かう、人生,特に思いはない,いいえ、ペットを飼うつもりもない,いいえ、子供を持つことは考えていない,いいえ,この質問については、特に思いはない,この質問については、特に思いはない,はい、まだどうすればいいか分からない,いいえ、考えたことはない,,今、ぬいぐるみとの間にある距離が、遡行的に擬似死の演出/予行ともとれるのかもしれない。,,,尊いもん,声だけなら。私は日本語だけしか喋れないけど、それでもよろしければ…。あ、でも私話すの下手だったら、ごめん、って思う、,ある程度理解されている,ある程度理解されている,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, ファッションアイテム, 癒し目的, 心理セラピー目的, その深度が人、時、場合で異なりそうだけど、物体というかオブジェクトとしてのぬいぐるみであれば、割とどこにでも現れるイメージです"
2025/4/19 下午 8:29:57,女性,18~25歳,日本,実家暮らし,未婚,持っていない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ある程度理解されている,少し珍しく、特定の人だけがする印象,"子供の遊び道具, インテリア, 癒し目的, 心理セラピー目的"
2025/4/19 下午 10:48:35,男性,26~33歳,日本,1人暮らし,未婚,1~3匹,たまに,"ぬいぐるみに家族を作る, 抱きしめる・すりすりする・においを嗅ぐ",できれば人には知られたくない,ペット,こちらからの干渉はあるが、むこう側からの干渉は考えたことがない,賛成,賛成,そこまで強くは思わない,特に思いはない/こんなことはしていない,時々,賛成,特に思いはない,特に思いはない,特に思いはない,特に思いはない,賛成,特に思いはない,自分の中で思うのはいいと思う,はい,いいえ、まだ決めていない,いいえ,この質問については、特に思いはない,部分的に同意する,いいえ、考えたことはない,いいえ、そう思わない,やりすぎると、他人からの干渉が多くなるから理解できる人たちで、こっそりやっていたほうがいいと思う,,,,ペット(動物)に対しても世の中の理解は深まっていない。特に日本ではそう。だから日本で広まることがあるとすると、海外(アメリカ、西欧、韓国)辺りの影響が必要だと思う,さらなる文章回答なら大丈夫です,少し珍しく、特定の人だけがする印象,少し珍しく、特定の人だけがする印象,子供の遊び道具
2025/4/19 下午 11:13:52,女性,33~40歳,日本,配偶者と一緒に住む,既婚,1~3匹,週に数回,"職場や学校に連れて行く, イベント(同人祭り・コスプレイベント・マラソンなど)に連れて行く, 写真を撮ってSNSに投稿する, 国内旅行に連れて行く",少し気になるが、特に問題ない,"ペット, コレクション",人間・人間さん,賛成,賛成,特に思いはない,特に思いはない/こんなことはしていない,よく,賛成,特に思いはない,不賛成,特に思いはない,賛成,賛成,賛成,賛成,はい,いいえ、子供を持つことは考えていない,はい,この質問については、特に思いはない,この質問については、特に思いはない,はい、私と一緒に火葬・埋葬してもらう,いいえ、そう思わない,,,,,,いいえ、結構,少し珍しく、特定の人だけがする印象,不自然と思われる,"子供の遊び道具, ファッションアイテム, 癒し目的"
2025/4/20 下午 5:02:51,女性,49歳以上,日本,1人暮らし,未婚,11匹以上,毎日1回,"イベント(同人祭り・コスプレイベント・マラソンなど)に連れて行く, 日常的に話しかける, 名前を付けて性格を与える, 写真を撮ってSNSに投稿する, 抱きしめる・すりすりする・においを嗅ぐ, 国内旅行に連れて行く",少し気になるが、特に問題ない,"友達, 家族",主人・ご主人様,特に思いはない,賛成,特に思いはない,特に思いはない/こんなことはしていない,よく,賛成,賛成,特に思いはない,特に思いはない,賛成,賛成,賛成,賛成,いいえ、ペットを飼うつもりもない,いいえ、子供を持つことは考えていない,いいえ,元々子供を持つつもりはない,いいえ、両者のニーズの性質は異なる,はい、私と一緒に火葬・埋葬してもらう,はい、そう思う,自分の考えや思いを話しかけることによって、気持ちを纏めやすくなる気がします。,確か火葬はしてもらえないので、納骨の際に埋めて貰いたいです…,https://drive.google.com/open?id=1nYcHz6c6VWzeV0z1mrlfH30xD85JOwqb,ワニのＴシャツを買ったので記念撮影,,いいね,少し珍しく、特定の人だけがする印象,少し珍しく、特定の人だけがする印象,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, ファッションアイテム, 癒し目的, 心理セラピー目的"
2025/4/20 下午 7:18:36,女性,18~25歳,日本,実家暮らし,未婚,持っていない,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,少し珍しく、特定の人だけがする印象,少し珍しく、特定の人だけがする印象,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, ファッションアイテム"
2025/4/21 下午 8:25:49,女性,18~25歳,日本,実家暮らし,未婚,11匹以上,毎日何度も,"職場や学校に連れて行く, イベント(同人祭り・コスプレイベント・マラソンなど)に連れて行く, 外出する際に連れて行く, 食べさせる, 日常的に話しかける, 名前を付けて性格を与える, ぬいぐるみに家族を作る, ぬいぐるみに服を着せる, ぬいぐるみ同士でおしゃべり・触れ合いをする, 写真を撮ってSNSに投稿する, 場面を演じる, 抱きしめる・すりすりする・においを嗅ぐ, 出かける前にぬいぐるみに布団をかけてあげる, 国内旅行に連れて行く, 同じ布団で一緒に寝る, 自分で運転・乗車する乗り物(自家用車・バイク・自転車・バス・タクシー・飛行機など)に、ぬいぐるみを乗客として座らせる",全く気にしない,"友達, 家族",名前呼び,賛成,賛成,賛成,賛成,よく,賛成,賛成,賛成,賛成,賛成,賛成,賛成,賛成,いいえ、ペットを飼うつもりもない,いいえ、まだ決めていない,いいえ,いいえ、両者のニーズの性質は異なる,いいえ、両者のニーズの性質は異なる,はい、親しい友人や家族に託す,いいえ、考えたことはない,,,,,日本の刑務所ではたとえ本人の持ち物でもぬいぐるみの差し入れが認められない事が多い。福祉施設も含めセラピードッグなどが普及しつつあるのに家族として癒しとしてのぬいぐるみの存在が理解されにくい現状が不思議でたまらない。私は100匹以上の名前や性格のある仲間（ぬいぐるみ）と毎日生活し、会話し、外出にも連れて行っています。ぬいぐるみたちがいるおかげで精神が安定することも多くあります。,いいね,ある程度理解されている,少し珍しく、特定の人だけがする印象,"子供の遊び道具, 恋人・家族や友達のプレゼント, インテリア, ファッションアイテム"
